ts_utc,source,universe,event_id,title,event_date,market_count,outcomes,is_binary_candidate,skip_binary_arb,reason
2026-06-15T07:41:28.526034+00:00,polymarket,worldcup_soccer,fifwc-ger-civ-2026-06-20,Germany vs. Côte d'Ivoire,2026-06-20,3,Will Germany win on 2026-06-20? | Will Côte d'Ivoire win on 2026-06-20? | Will Germany vs. Côte d'Ivoire end in a draw?,False,True,3-way market includes Tie/draw; binary Yes/No arb formula does not apply.
2026-06-15T07:41:28.526034+00:00,polymarket,worldcup_soccer,fifwc-bel-irn-2026-06-21,Belgium vs. IR Iran,2026-06-21,3,Will IR Iran win on 2026-06-21? | Will Belgium win on 2026-06-21? | Will Belgium vs. IR Iran end in a draw?,False,True,3-way market includes Tie/draw; binary Yes/No arb formula does not apply.
2026-06-15T07:41:28.526034+00:00,polymarket,worldcup_soccer,fifwc-fra-irq-2026-06-22,France vs. Iraq,2026-06-22,3,Will France vs. Iraq end in a draw? | Will Iraq win on 2026-06-22? | Will France win on 2026-06-22?,False,True,3-way market includes Tie/draw; binary Yes/No arb formula does not apply.
2026-06-15T07:41:28.526034+00:00,polymarket,worldcup_soccer,fifwc-jor-alg-2026-06-22,Jordan vs. Algeria,2026-06-22,3,Will Jordan vs. Algeria end in a draw? | Will Jordan win on 2026-06-22? | Will Algeria win on 2026-06-22?,False,True,3-way market includes Tie/draw; binary Yes/No arb formula does not apply.
2026-06-15T07:41:28.526034+00:00,polymarket,worldcup_soccer,fifwc-nor-sen-2026-06-22,Norway vs. Senegal,2026-06-22,3,Will Senegal win on 2026-06-22? | Will Norway win on 2026-06-22? | Will Norway vs. Senegal end in a draw?,False,True,3-way market includes Tie/draw; binary Yes/No arb formula does not apply.
2026-06-15T07:41:28.526034+00:00,polymarket,worldcup_soccer,fifwc-col-cdr-2026-06-23,Colombia vs. DR Congo,2026-06-23,3,Will Colombia vs. DR Congo end in a draw? | Will Colombia win on 2026-06-23? | Will DR Congo win on 2026-06-23?,False,True,3-way market includes Tie/draw; binary Yes/No arb formula does not apply.
2026-06-15T07:41:28.526034+00:00,polymarket,worldcup_soccer,fifwc-eng-gha-2026-06-23,England vs. Ghana,2026-06-23,3,Will England vs. Ghana end in a draw? | Will Ghana win on 2026-06-23? | Will England win on 2026-06-23?,False,True,3-way market includes Tie/draw; binary Yes/No arb formula does not apply.
2026-06-15T07:41:28.526034+00:00,polymarket,worldcup_soccer,fifwc-pan-hrv-2026-06-23,Panama vs. Croatia,2026-06-23,3,Will Croatia win on 2026-06-23? | Will Panama win on 2026-06-23? | Will Panama vs. Croatia end in a draw?,False,True,3-way market includes Tie/draw; binary Yes/No arb formula does not apply.
2026-06-15T07:41:28.526034+00:00,polymarket,worldcup_soccer,fifwc-cze-mex-2026-06-24,Czechia vs. Mexico,2026-06-24,3,Will Czechia win on 2026-06-24? | Will Czechia vs. Mexico end in a draw? | Will Mexico win on 2026-06-24?,False,True,3-way market includes Tie/draw; binary Yes/No arb formula does not apply.
2026-06-15T07:41:28.526034+00:00,polymarket,worldcup_soccer,fifwc-rsa-kr-2026-06-24,South Africa vs. Korea Republic,2026-06-24,3,Will South Africa win on 2026-06-24? | Will South Africa vs. Korea Republic end in a draw? | Will Korea Republic win on 2026-06-24?,False,True,3-way market includes Tie/draw; binary Yes/No arb formula does not apply.
2026-06-15T07:41:28.526034+00:00,polymarket,worldcup_soccer,fifwc-jpn-swe-2026-06-25,Japan vs. Sweden,2026-06-25,3,Will Japan vs. Sweden end in a draw? | Will Japan win on 2026-06-25? | Will Sweden win on 2026-06-25?,False,True,3-way market includes Tie/draw; binary Yes/No arb formula does not apply.
